Date,Open,High,Low,Close,Volume
20061213,19.4343,19.4343,19.4343,19.4343,83530
20061214,20.406,20.406,20.406,20.406,280710
20061215,21.4263,21.4263,21.4263,21.4263,265300
20061218,22.4952,22.4952,22.4952,22.4952,215790
20061219,23.6127,23.6127,23.6127,23.6127,137520
20061220,24.7788,24.7788,24.7788,24.7787,220120
20061221,24.7787,24.3414,23.5641,23.5641,156400
20061222,22.398,22.398,22.398,22.398,143500
20061225,21.2805,21.2805,21.2805,21.2806,22140
20061226,22.3009,22.3009,20.2603,22.3009,300150
20061227,0.0,23.3212,22.3009,23.3212,413230
20061228,23.3212,23.3212,22.8353,23.3212,144840
20061229,22.5924,22.5924,22.3495,22.3494,69760
20070102,21.3777,21.8635,21.3777,21.3777,81170
20070103,21.8636,21.8636,21.3777,21.8636,74660
20070104,22.9325,22.9325,22.9325,22.9325,148510
20070105,24.05,24.05,24.05,24.0499,377800
20070108,24.7787,24.7787,23.807,23.807,351470
20070109,24.0499,24.0499,23.807,23.807,225270
20070110,23.807,24.0499,23.807,24.0499,314250
20070111,24.2928,24.2928,24.2928,24.2929,283920
20070112,25.5075,25.5075,25.5075,25.5075,279710
20070115,25.9934,26.7707,25.9934,26.7707,274290
20070116,28.0825,28.0825,28.0825,28.0826,339760
20070117,29.1029,29.1029,26.7222,26.7222,145870
20070118,25.4104,26.7708,25.4104,26.7707,282430
20070119,28.0825,28.0825,28.0825,28.0826,95290
20070122,29.443,29.443,29.1515,29.1514,461630
20070123,29.1514,29.2486,29.1514,29.2486,243990
20070124,29.2486,29.2486,28.1797,28.1797,156420
20070125,28.1797,28.1797,28.1797,28.1797,142420
20070126,28.1797,28.617,27.6938,28.1797,129240
20070129,29.3943,29.3943,28.4226,29.3944,201310
20070130,30.609,30.852,30.609,30.8519,258290
20070131,30.9977,31.3378,30.9977,31.3378,1993480
20070201,31.435,31.435,30.1232,30.1232,736990
20070202,30.6091,30.6091,30.6091,30.609,500660
20070205,29.1028,30.1231,29.1028,29.1029,110440
20070206,30.3661,30.3661,28.6656,30.3661,195540
20070207,30.852,30.852,29.443,30.8519,116470
20070208,29.3457,29.3457,29.3457,29.3458,103880
20070209,27.8882,27.8882,27.8882,27.8882,194380
20070212,29.2486,29.2486,29.2486,29.2486,60490
20070213,30.609,30.7062,30.1231,30.609,160600
20070214,29.6373,30.1231,29.6373,29.6373,79810
20070215,29.6373,29.6373,29.6373,29.6373,59720
20070226,31.0949,31.0949,31.0949,31.0949,231310
20070227,32.3095,32.6496,32.3095,32.3095,289680
20070228,30.7062,32.3095,30.7062,30.7062,69560
20070301,29.8802,30.609,29.6373,29.8802,98850
20070302,30.4632,31.3378,30.4632,31.3378,163420
20070305,30.8519,31.3378,30.8519,30.8519,125170
20070306,29.3735,29.4221,29.3735,29.3722,200880
20070307,30.3934,30.3934,29.664,29.664,43980
20070308,29.4209,29.4209,28.4483,29.1777,85390
20070309,30.1503,30.1503,29.1777,29.1777,56050
20070312,29.664,29.664,29.1777,29.664,87310
20070313,29.664,29.7613,28.3024,29.664,74620
20070314,28.2051,29.4209,28.2051,28.2051,57450
20070315,26.7948,26.7948,26.7948,26.7948,102590
20070316,26.7948,28.1078,26.7948,28.1078,102100
20070319,29.1776,29.1776,28.1078,28.1078,105730
20070320,27.7188,27.7188,27.2325,27.3298,100430
20070321,25.9682,26.0654,25.9682,26.0168,113940
20070322,26.2599,27.2325,26.2599,26.9894,139830
20070323,26.9894,26.9894,26.9894,26.9894,119530
20070326,26.26,26.26,25.7737,26.2599,107630
20070327,25.0442,25.0442,24.9469,24.9469,62970
20070328,23.7312,24.9469,23.7312,24.9469,126200
20070329,24.9469,26.1626,24.9469,26.1627,117350
20070330,26.649,26.7463,26.3086,26.3085,90460
20070402,24.9955,25.5304,24.9955,25.2873,57570
20070403,24.3147,24.3147,24.2661,24.3147,64900
20070404,24.3147,24.9955,24.3147,24.9955,23700
20070405,25.19,25.19,25.0441,25.0442,50520
20070406,24.4606,24.8011,24.4606,24.801,38880
20070409,24.801,25.0441,24.801,25.0442,48570
20070410,25.0442,25.336,24.8011,25.336,83330
20070411,25.336,25.5305,25.336,25.5305,44950
20070412,26.1627,26.2599,26.0168,26.2599,80100
20070413,27.2325,27.2325,25.2873,25.2873,149170
20070416,25.9195,25.9195,25.5304,25.5305,102080
20070417,25.2874,25.2874,25.0442,25.0442,31000
20070418,25.2873,25.2873,25.2873,25.2873,62980
20070419,25.2873,25.2873,24.5579,24.5579,74850
20070420,24.0716,24.0716,23.3422,23.3421,135750
20070423,22.3695,22.3695,22.175,22.175,56560
20070424,21.1052,21.1052,21.1052,21.1052,48470
20070425,20.084,20.6675,20.084,20.6675,221550
20070502,20.9593,21.1052,20.9593,21.0566,137200
20070503,21.1052,21.4943,21.1052,21.4942,152480
20070504,22.564,22.564,22.564,22.5641,95960
20070507,23.6826,23.6826,23.6826,23.6826,136260
20070508,24.3148,24.3148,24.2175,24.3147,152010
20070509,24.3147,24.3147,24.3147,24.3147,104100
20070510,25.5304,25.5304,25.5304,25.5305,131160
20070511,26.7949,26.7949,26.7949,26.7948,165950
20070514,28.1078,28.1078,28.1078,28.1078,190090
20070515,26.7462,26.7462,26.7462,26.7462,76860
20070516,26.5031,26.5031,25.8709,25.8709,125520
20070517,25.5305,27.0866,25.5305,27.0866,153220
20070518,26.7462,26.7462,26.3085,26.3085,146660
20070521,27.5703,27.5703,27.1327,27.1352,283500
20070522,26.9893,27.1352,26.9893,27.1352,241370
20070523,27.1352,27.1352,26.9893,26.9894,274270
20070524,26.26,26.6247,26.26,26.2599,173140
20070525,26.114,26.187,25.8952,26.114,203300
20070528,25.9681,26.0411,25.9681,26.0411,176850
20070529,25.5305,25.5305,25.3117,25.3116,186180
20070530,24.801,25.5304,24.801,25.5305,204950
20070531,25.5305,25.5305,25.4576,25.4575,165090
20070601,25.3846,25.3846,25.1657,25.1657,92630
20070604,24.801,24.8739,24.801,24.801,175240
20070605,24.0716,24.0716,23.5609,23.561,200960
20070606,23.561,24.0716,23.561,24.0716,166220
20070607,24.4363,24.6552,24.4363,24.6551,88290
20070608,24.4363,24.4363,23.7068,24.0716,164370
20070611,23.3422,23.3422,23.3422,23.3421,147860
20070612,23.3421,23.3421,23.2692,23.2692,149160
20070613,22.4668,22.4668,22.3209,22.3209,426060
20070614,22.175,22.248,22.175,22.248,439470
20070615,22.248,22.6127,22.248,22.6127,284560
20070618,22.9774,22.9774,22.3209,22.3209,276180
20070619,22.1021,22.3209,22.1021,22.3209,299170
20070620,22.248,22.4668,22.248,22.3209,202860
20070621,22.3209,22.3209,21.8832,21.8833,151020
20070622,21.5186,21.8833,21.5186,21.5185,301720
20070625,22.5397,22.5397,22.5397,22.5398,171530
20070626,23.634,23.634,23.634,23.6339,218550
20070627,24.4363,24.4363,22.6856,22.6856,476910
20070628,22.6127,22.6127,22.4668,22.4668,184710
20070629,22.3939,22.3939,22.3939,22.3939,137240
20070702,21.8833,22.0292,21.8833,22.0291,294210
20070703,22.102,22.102,22.102,22.1021,219630
20070704,22.6127,22.7586,22.6127,22.7586,164890
20070705,22.248,22.6127,22.248,22.6127,201110
20070706,22.3939,22.4668,22.3939,22.4668,57070
20070709,22.248,22.4668,22.248,22.4668,136810
20070710,22.3939,22.4668,22.3939,22.4668,86160
20070711,22.6127,22.6127,22.4668,22.4668,73500
20070712,22.4668,22.4668,22.3209,22.3209,79290
20070713,21.8832,21.8832,21.8103,21.8103,957580
20070716,21.2267,21.2267,21.1538,21.1538,374810
20070717,21.1538,21.1538,21.1538,21.1538,464320
20070718,21.1538,21.1538,21.0079,21.0079,532830
20070719,21.0079,21.0079,20.7891,20.7891,170180
20070720,20.862,20.862,20.6432,20.6432,339690
20070723,20.3514,20.3514,19.8408,19.8408,246160
20070724,19.8847,19.8847,19.5191,19.5189,375620
20070725,19.0072,19.0072,18.6416,18.6417,411820
20070726,18.2762,18.2762,18.2762,18.2762,393930
20070727,18.2762,18.2762,18.2762,18.2762,373240
20070730,18.4955,18.7879,18.4955,18.4955,284820
20070731,18.2762,18.4224,17.6913,17.9106,323490
20070801,17.5451,17.9106,17.3989,17.5451,448440
20070802,17.472,17.5451,16.6678,16.6679,336310
20070803,15.8637,16.0831,15.8637,15.8637,591930
20070806,15.8637,16.083,15.8637,15.9368,290560
20070807,16.3023,16.6678,16.3023,16.6679,249130
20070808,16.8141,17.4721,16.8141,17.472,542430
20070809,17.9837,18.2762,17.9106,18.2762,537810
20070810,17.9107,17.9107,17.472,17.5451,507630
20070813,17.0334,17.1796,16.8141,16.8872,361290
20070814,16.8872,17.1796,16.8872,17.1796,246630
20070815,16.8141,16.9603,16.741,16.8141,192850
20070816,16.5217,16.6679,16.3024,16.3023,346180
20070817,16.083,16.2292,15.9368,16.083,484890
20070820,16.083,16.4485,16.083,16.4486,200790
20070821,16.5948,16.8141,16.5948,16.5948,216400
20070822,16.8141,16.8872,16.5948,16.741,309370
20070823,16.741,16.741,16.4486,16.4486,225450
20070824,16.5948,16.8141,16.4486,16.8141,334530
20070827,16.8141,16.8141,16.3755,16.5217,220710
20070828,16.5217,16.5217,16.3755,16.5217,164380
20070829,16.4486,16.5217,16.3755,16.5217,124920
20070830,16.4486,16.5217,16.3755,16.4486,261390
20070831,16.4486,16.5948,16.3755,16.4486,229880
20070904,16.4486,16.741,16.4486,16.741,176260
20070905,16.5217,16.741,16.4486,16.4486,397330
20070906,16.4486,16.5948,16.4486,16.4486,128330
20070907,16.4486,16.5948,16.3755,16.4486,144790
20070910,16.3755,16.4486,16.2293,16.3023,147010
20070911,16.3023,16.3754,16.3023,16.3023,149540
20070912,16.3023,16.3023,16.1561,16.3023,165190
20070913,16.3023,16.3023,16.1561,16.3023,187850
20070914,16.3023,16.4485,16.2292,16.4486,216470
20070917,16.3024,16.4486,16.2293,16.3754,202530
20070918,16.2292,16.3023,16.2292,16.2292,141940
20070919,16.2292,16.3023,16.2292,16.3023,181030
